,Year,Gross domestic product in billion international dollars
0,2021*,324.87
1,2020*,300.62
2,2019,319.49
3,2018,306.76
4,2017,292.47
5,2016,281.33
6,2015,269.69
7,2014,260.8
8,2013,251.99
9,2012,245.35
10,2011,240.19
11,2010,232.17
12,2009,225.29
13,2008,235.12
14,2007,231.81
15,2006,223.72
16,2005,208.97
17,2004,198.02
18,2003,187.82
19,2002,183.68
20,2001,179.98
21,2000,174.68
22,1999,164.69
23,1998,157.7
24,1997,152.56
25,1996,145.24
26,1995,138.61
27,1994,131.77
28,1993,122.49
29,1992,119.64
30,1991,114.73
31,1990,109.45
32,1989,103.97
33,1988,99.41
34,1987,96.03
35,1986,93.47
36,1985,87.35
37,1984,81.41
