,Year,GDP per capita in U.S. dollars
0,2025*,5852.01
1,2024*,5638.59
2,2023*,5389.04
3,2022*,5154.35
4,2021*,4921.23
5,2020*,4199.16
6,2019*,6191.28
7,2018*,5871.2
8,2017*,5514.71
9,2016,5435.12
10,2015,8439.04
11,2014,9379.0
12,2013,9351.96
13,2012,9194.15
14,2011,8190.7
15,2010,8224.07
16,2009,7394.1
17,2008,6832.95
18,2007,5758.07
19,2006,5208.56
20,2005,4483.53
21,2004,3789.59
22,2003,3335.53
23,2002,2872.14
24,2001,2301.93
25,2000,2712.6
26,1999,2649.74
27,1998,3264.33
28,1997,2750.7
29,1996,2605.67
30,1995,2120.75
