,Year,Inflation rate compared to previous year
0,2024*,3.49%
1,2023*,3.49%
2,2022*,3.6%
3,2021*,3.81%
4,2020*,3.47%
5,2019*,3.79%
6,2018,3.67%
7,2017,3.45%
8,2016,8.74%
9,2015,9.03%
10,2014,6.33%
11,2013,6.2%
12,2012,5.4%
13,2011,6.64%
14,2010,5.04%
15,2009,4.89%
16,2008,5.68%
17,2007,3.64%
18,2006,4.18%
19,2005,6.87%
20,2004,6.6%
21,2003,14.71%
22,2002,8.45%
23,2001,6.84%
24,2000,7.04%
25,1999,4.86%
26,1998,3.2%
27,1997,6.93%
28,1996,15.76%
29,1995,66.01%
30,1994,"2,075.83%"
31,1993,"1,927.38%"
32,1992,951.96%
33,1991,432.77%
34,1990,"2,947.73%"
35,1989,"1,430.72%"
36,1988,629.12%
37,1987,228.33%
38,1986,147.14%
39,1985,226.03%
40,1984,192.12%
