,Quarter,Expenditure in million GBP
0,Q4 2019,25205
1,Q3 2019,25244
2,Q2 2019,25243
3,Q1 2019,25230
4,Q4 2018,25216
5,Q3 2018,25110
6,Q2 2018,25011
7,Q1 2018,24879
8,Q4 2017,24683
9,Q3 2017,24690
10,Q2 2017,24562
11,Q1 2017,24554
12,Q4 2016,24599
13,Q3 2016,24081
14,Q2 2016,23528
15,Q1 2016,23030
16,Q4 2015,22491
17,Q3 2015,22215
18,Q2 2015,22153
19,Q1 2015,22089
20,Q4 2014,22409
21,Q3 2014,22656
22,Q2 2014,22443
23,Q1 2014,22337
24,Q4 2013,22159
25,Q3 2013,21863
26,Q2 2013,21580
27,Q1 2013,21563
