,Month,"Number of workers (in 1,000s)"
0,Oct 20,8061
1,Sep 20,8111
2,Aug 20,8200
3,Jul 20,8256
4,Jun 20,8269
5,May 20,8403
6,Apr 20,8564
7,Mar 20,8650
8,Feb 20,8618
9,Jan 20,8522
10,Dec 19,8517
11,Nov 19,8544
12,Oct 19,8564
13,Sep 19,8540
14,Aug 19,8533
15,Jul 19,8605
16,Jun 19,8704
17,May 19,8661
18,Apr 19,8597
19,Mar 19,8586
20,Feb 19,8575
21,Jan 19,8596
22,Dec 18,8562
23,Nov 18,8534
24,Oct 18,8526
25,Sep 18,8503
26,Aug 18,8513
27,Jul 18,8540
28,Jun 18,8541
29,May 18,8554
30,Apr 18,8642
31,Mar 18,8604
32,Feb 18,8590
33,Jan 18,8547
34,Dec 17,8545
35,Nov 17,8572
36,Oct 17,8559
37,Sep 17,8568
38,Aug 17,8561
39,Jul 17,8554
40,Jun 17,8510
41,May 17,8497
42,Apr 17,8456
43,Mar 17,8460
44,Feb 17,8453
45,Jan 17,8516
46,Dec 16,8545
47,Nov 16,8546
48,Oct 16,8559
49,Sep 16,8557
50,Aug 16,8576
51,Jul 16,8524
52,Jun 16,8564
53,May 16,8539
54,Apr 16,8513
55,Mar 16,8478
56,Feb 16,8479
57,Jan 16,8506
58,Dec 15,8459
59,Nov 15,8460
60,Oct 15,8446
61,Sep 15,8439
62,Aug 15,8366
63,Jul 15,8387
64,Jun 15,8317
65,May 15,8302
66,Apr 15,8346
67,Mar 15,8387
68,Feb 15,8378
69,Jan 15,8312
70,Dec 14,8312
71,Nov 14,8285
72,Oct 14,8261
73,Sep 14,8267
74,Aug 14,8279
75,Jul 14,8308
76,Jun 14,8305
77,May 14,8291
78,Apr 14,8264
79,Mar 14,8255
80,Feb 14,8249
81,Jan 14,8164
82,Dec 13,8151
83,Nov 13,8191
84,Oct 13,8226
85,Sep 13,8162
86,Aug 13,8131
87,Jul 13,8127
88,Jun 13,8169
89,May 13,8136
90,Apr 13,8160
91,Mar 13,8105
92,Feb 13,8116
93,Jan 13,8138
94,Dec 12,8172
95,Nov 12,8184
96,Oct 12,8185
97,Sep 12,8191
98,Aug 12,8213
99,Jul 12,8202
100,Jun 12,8154
101,May 12,8089
102,Apr 12,8081
103,Mar 12,8082
104,Feb 12,8036
105,Jan 12,7982
106,Dec 11,7977
107,Nov 11,7945
108,Oct 11,7900
109,Sep 11,7873
110,Aug 11,7858
111,Jul 11,7893
112,Jun 11,7971
113,May 11,8016
114,Apr 11,8021
115,Mar 11,8005
116,Feb 11,8009
117,Jan 11,8004
118,Dec 10,7999
119,Nov 10,8001
120,Oct 10,8019
121,Sep 10,8044
122,Aug 10,8025
123,Jul 10,7991
124,Jun 10,7891
125,May 10,7878
126,Apr 10,7827
127,Mar 10,7778
128,Feb 10,7743
129,Jan 10,7766
130,Dec 09,7753
131,Nov 09,7748
132,Oct 09,7734
133,Sep 09,7681
134,Aug 09,7630
135,Jul 09,7606
136,Jun 09,7609
137,May 09,7570
138,Apr 09,7557
139,Mar 09,7598
140,Feb 09,7586
141,Jan 09,7587
142,Dec 08,7578
143,Nov 08,7597
144,Oct 08,7525
145,Sep 08,7519
146,Aug 08,7531
147,Jul 08,7526
148,Jun 08,7533
149,May 08,7522
150,Apr 08,7546
151,Mar 08,7549
152,Feb 08,7546
153,Jan 08,7531
154,Dec 07,7501
155,Nov 07,7472
156,Oct 07,7433
157,Sep 07,7431
158,Aug 07,7428
159,Jul 07,7431
160,Jun 07,7420
161,May 07,7419
162,Apr 07,7435
163,Mar 07,7438
164,Feb 07,7427
165,Jan 07,7449
166,Dec 06,7466
167,Nov 06,7459
168,Oct 06,7480
169,Sep 06,7421
170,Aug 06,7402
171,Jul 06,7371
172,Jun 06,7360
173,May 06,7319
174,Apr 06,7328
175,Mar 06,7344
176,Feb 06,7309
177,Jan 06,7274
178,Dec 05,7257
179,Nov 05,7276
180,Oct 05,7288
181,Sep 05,7303
182,Aug 05,7311
183,Jul 05,7335
184,Jun 05,7333
185,May 05,7327
186,Apr 05,7287
187,Mar 05,7280
188,Feb 05,7284
189,Jan 05,7296
190,Dec 04,7297
191,Nov 04,7299
192,Oct 04,7312
193,Sep 04,7342
194,Aug 04,7355
195,Jul 04,7357
196,Jun 04,7360
197,May 04,7384
198,Apr 04,7390
199,Mar 04,7413
200,Feb 04,7389
201,Jan 04,7361
202,Dec 03,7317
203,Nov 03,7295
204,Oct 03,7299
205,Sep 03,7279
206,Aug 03,7275
207,Jul 03,7257
208,Jun 03,7270
209,May 03,7279
210,Apr 03,7263
211,Mar 03,7224
