,Month,Market (transfer) value in million euros
0,Sander Berge (KRC Genk),22.0
1,Yari Verschaeren (RSC Anderlecht),15.0
2,Wesley Hoedt (Royal Antwerp FC),12.0
3,Mbwana Samatta (KRC Genk),12.0
4,Hans Vanaken (Club Brugge),11.5
5,Zinho Vanheusden (Standard Luik),10.0
6,Jonathan David (KAA Gent),9.0
7,Mbaye Diagne (Club Brugge),9.0
8,Joakim Maehle (KRC Genk),9.0
9,Giorgi Chakvetadze (KAA Gent),9.0
10,Simon Mognolet (Club Brugge),8.0
11,Jhon Lucumí (KRC Genk),8.0
12,Michel Vlap (RSC Anderlecht),8.0
13,Vincent Kompany (RSC Anderlecht),8.0
14,Nacer Chadli (RSC Anderlecht),8.0
15,Siebe Schrijvers (Club Brugge),7.5
16,Emmanuel Dennis (Club Brugge),7.5
17,Bryan Heynen (KRC Genk),7.0
18,Landry Dimata (RSC Anderlecht),7.0
19,Krépin Diatta (Club Brugge),7.0
20,Adrien Trebel (RSC Anderlecht),7.0
21,Dylan Bronn (KAA Gent),7.0
22,Marvelous Nakamba (Club Brugge),6.5
23,Patrik Hrosovsky (KRC Genk),6.5
