,Response,Percentage of single-person households
0,District of Columbia,44.75
1,North Dakota,33.66
2,Vermont,31.64
3,New Mexico,31.32
4,Maine,31.19
5,Ohio,31.08
6,Rhode Island,31.02
7,Illinois,30.77
8,Montana,30.69
9,New York,30.5
10,Michigan,30.49
11,Wisconsin,30.49
12,Indiana,30.38
13,Mississippi,30.27
14,Missouri,30.25
15,Louisiana,30.25
16,Pennsylvania,30.15
17,South Dakota,29.93
18,Alabama,29.84
19,West Virginia,29.64
20,Iowa,29.63
21,Arkansas,29.48
22,Minnesota,29.39
23,Kentucky,29.15
24,Kansas,29.11
25,Connecticut,29.0
26,South Carolina,28.99
27,Delaware,28.8
28,Tennessee,28.74
29,Nebraska,28.72
30,Florida,28.64
31,Oklahoma,28.64
32,North Carolina,28.61
33,Massachusetts,28.59
34,Nevada,28.52
35,United States,28.3
36,Maryland,28.17
37,Oregon,28.14
38,Georgia,28.0
39,Virginia,27.71
40,New Hampshire,27.64
41,Wyoming,27.43
42,Alaska,27.4
43,Arizona,27.29
44,Colorado,27.1
45,Washington,26.63
46,New Jersey,26.4
47,Texas,25.63
48,Hawaii,25.21
49,Idaho,24.64
50,California,24.08
51,Utah,19.16
