,city,Consumption in litres
0,Prague (Czech Republic),144
1,Warsaw (Poland),127
2,Krakow (Poland),127
3,Frankfurt (Germany),107
4,Munich (Germany),107
5,Berlin (Germany),107
6,Venice (Italy),106
7,Helsinki (Finland),105
8,Madrid (Spain),104
9,Seville (Spain),104
10,Malaga (Spain),104
11,Barcelona (Spain),104
12,Vienna (Austria),104
13,Dublin (Ireland),93
14,The Hague (Netherlands),86
15,Luxembourg City (Luxembourg),83
16,Reykjavik (Iceland),82
17,Brussels (Belgium),81
18,Dubrovnik (Croatia),80
19,Ljubljana (Slovenia),78
20,Bucharest (Romania),74
21,Sofia (Bulgaria),72
22,Bratislava (Slovakia),70
23,Manchester (United Kingdom),68
24,Edinburgh (United Kingdom),68
25,Leeds (United Kingdom),68
26,London (United Kingdom),68
27,Amsterdam (Netherlands),68
28,Liverpool (United Kingdom),68
29,Copenhagen (Denmark),65
30,Budapest (Hungary),59
31,Zurich (Switzerland),56
32,Lausanne (Switzerland),56
33,Geneva (Switzerland),56
34,Oslo (Norway),47
35,Lisbon (Portugal),46
36,Stockholm (Sweden),45
37,Strasbourg (France),43
38,Athens (Greece),35
39,Nice (France),30
40,Paris (France),30
41,Milan (Italy),29
42,Rome (Italy),29
