,State,"Number of abortions per 1,000 women"
0,District of Columbia,30.2
1,New York,26.3
2,New Jersey,26.3
3,Maryland,25.0
4,Florida,18.6
5,Connecticut,17.7
6,Georgia,16.9
7,Rhode Island,16.7
8,Illinois,16.6
9,California,16.4
10,Nevada,16.4
11,North Carolina,14.6
12,Michigan,14.2
13,U.S. total,13.5
14,Massachusetts,13.5
15,Pennsylvania,13.1
16,Kansas,12.2
17,Washington,12.1
18,Hawaii,12.0
19,Oregon,11.9
20,New Mexico,11.7
21,Vermont,11.4
22,Colorado,10.9
23,Louisiana,10.6
24,Delaware,10.5
25,Virginia,10.2
26,Minnesota,10.1
27,Ohio,9.4
28,Texas,9.4
29,Arizona,9.2
30,Tennessee,9.2
31,New Hampshire,9.2
32,Maine,8.8
33,Alaska,8.6
34,Montana,8.3
35,North Dakota,7.9
36,Alabama,6.4
37,Iowa,6.3
38,Oklahoma,6.2
39,Indiana,5.9
40,Wisconsin,5.9
41,Arkansas,5.5
42,Nebraska,5.5
43,South Carolina,5.3
44,West Virginia,4.4
45,Utah,4.4
46,Mississippi,4.3
47,Missouri,4.0
48,Idaho,3.9
49,Kentucky,3.8
50,South Dakota,3.1
51,Wyoming,1.3
