,business,Amount contributed in U.S. dollars
0,University of California,1212245
1,Microsoft Corp,814645
2,Google Inc,801770
3,U.S. Government,728647
4,Harvard University,668368
5,Kaiser Permanente,588386
6,Stanford University,512356
7,Deloitte LLP,456975
8,Columbia University,455309
9,Time Warner,442271
10,U.S. Department of State,417629
11,DLA Piper,401890
12,Sidley Austin LLP,400883
13,Walt Disney Co,369598
14,IBM Corp,369491
15,University of Chicago,357185
16,University of Michigan,339806
17,Comcast Corp,337628
18,U.S. Department of Justice,334659
19,U.S. Department of Health & Human Services,309956
