,Country,Revenue in thousand U.S. dollars
0,South Korea,72950.12
1,Japan,22671.55
2,France,13882.99
3,United Kingdom,6644.14
4,Mexico,6401.86
5,Germany,5445.88
6,Spain,4965.12
7,Vietnam,2869.86
8,Netherlands,2607.86
9,Australia,2552.69
10,Brazil,2485.26
11,Italy,2175.21
12,Hong Kong,1725.77
13,Russia/CIS,1592.31
14,Russia,1421.54
15,Poland,1409.11
16,Norway,1047.58
17,Turkey,657.86
18,Argentina,465.47
19,Portugal,419.0
20,Czech Republic,249.55
21,Hungary,148.64
22,Ukraine,144.71
23,New Zealand,134.98
24,Croatia,118.42
25,Uruguay,80.96
26,Peru,79.73
27,United Arab Emirates,77.89
28,Iceland,64.35
29,Slovakia,52.23
30,Slovenia,50.2
31,Paraguay,25.59
32,Romania,20.09
