,Fiscal quarters,Revenue in billion U.S. dollars
0,Q4 '20,38.03
1,Q3 '20,35.02
2,Q2 '20,36.91
3,Q1 '20,33.06
4,Q4 '19,33.72
5,Q3 '19,30.57
6,Q2 '19,32.47
7,Q1 '19,29.08
8,Q4 '18,30.08
9,Q3 '18,26.82
10,Q2 '18,28.92
11,Q1 '18,24.54
12,Q4 '17,23.3
13,Q3 '17,22.1
14,Q2 '17,24.1
15,Q1 '17,21.93
16,Q4 '16,20.61
17,Q3 '16,20.53
18,Q2 '16,23.8
19,Q1 '16,20.38
20,Q4 '15,22.18
21,Q3 '15,21.73
22,Q2 '15,26.47
23,Q1 '15,23.2
24,Q4 '14,23.38
25,Q3 '14,20.4
26,Q2 '14,24.52
27,Q1 '14,18.53
28,Q4 '13,19.9
29,Q3 '13,20.49
30,Q2 '13,21.46
31,Q1 '13,16.01
32,Q4 '12,18.06
33,Q3 '12,17.41
34,Q2 '12,20.89
35,Q1 '12,17.37
36,Q4 '11,17.37
37,Q3 '11,16.43
38,Q2 '11,19.95
39,Q1 '11,16.2
40,Q4 '10,16.04
41,Q3 '10,14.5
42,Q2 '10,19.02
43,Q1 '10,12.92
44,Q4 '09,13.1
45,Q3 '09,13.65
46,Q2 '09,16.63
47,Q1 '09,15.06
48,Q4 '08,15.84
49,Q3 '08,14.45
50,Q2 '08,16.37
51,Q1 '08,13.76
