,Year,Gross domestic product in billion U.S. dollars
0,2024*,163.21
1,2023*,155.26
2,2022*,148.62
3,2021*,143.42
4,2020*,139.57
5,2019*,137.59
6,2018*,141.65
7,2017,119.53
8,2016,109.38
9,2015,114.61
10,2014,162.7
11,2013,174.18
12,2012,174.07
13,2011,154.02
14,2010,115.4
15,2009,105.99
16,2008,147.4
17,2007,114.68
18,2006,101.56
19,2005,80.81
20,2004,59.44
21,2003,47.84
22,2002,38.14
23,2001,34.89
24,2000,37.72
25,1999,30.12
26,1998,25.94
27,1997,30.35
28,1996,31.49
29,1995,27.19
30,1994,24.8
31,1993,24.0
32,1992,19.87
33,1991,10.83
34,1990,18.29
35,1989,23.86
36,1988,19.28
37,1987,20.82
38,1986,17.38
39,1985,21.54
40,1984,21.46
