,Year,GDP per capita in U.S. dollars
0,2024*,814.78
1,2023*,804.89
2,2022*,780.01
3,2021*,732.28
4,2020*,709.31
5,2019*,943.34
6,2018*,895.34
7,2017,819.34
8,2016,863.98
9,2015,1307.16
10,2014,1574.25
11,2013,1515.95
12,2012,1367.72
13,2011,1302.3
14,2010,1266.79
15,2009,1060.93
16,2008,1171.17
17,2007,971.33
18,2006,881.65
19,2005,797.7
20,2004,682.15
21,2003,597.77
22,2002,560.03
23,2001,532.42
24,2000,539.64
25,1999,439.29
26,1998,374.91
27,1997,418.53
28,1996,411.27
29,1995,840.83
30,1994,1919.18
