,Month,Price in GBP per kilogram
0,Nov '19,1.18
1,Oct '19,1.2
2,Sep '19,1.22
3,Aug '19,1.31
4,Jul '19,1.59
5,Jun '19,1.12
6,May '19,1.07
7,Apr '19,1.17
8,Mar '19,1.22
9,Feb '19,1.23
10,Jan '19,1.24
11,Dec '18,1.29
12,Nov '18,1.39
13,Oct '18,1.46
14,Sep '18,1.5
15,Aug '18,1.41
16,Jul '18,1.38
17,Jun '18,1.15
18,May '18,1.04
19,Apr '18,1.07
20,Mar '18,1.09
21,Feb '18,0.87
22,Jan '18,0.94
23,Dec '17,0.93
24,Nov '17,0.92
25,Oct '17,0.97
26,Sep '17,0.99
27,Aug '17,1.05
28,Jul '17,1.16
29,Jun '17,1.21
30,May '17,0.96
31,Apr '17,1.0
32,Mar '17,1.09
33,Feb '17,1.21
34,Jan '17,1.11
35,Dec '16,0.98
36,Nov '16,0.97
37,Oct '16,1.02
38,Sep '16,1.03
39,Aug '16,1.15
40,Jul '16,1.22
41,Jun '16,1.12
42,May '16,0.96
43,Apr '16,0.96
44,Mar '16,0.9
45,Feb '16,0.87
46,Jan '16,0.87
47,Dec '15,0.84
48,Nov '15,0.85
49,Oct '15,0.89
50,Sep '15,0.9
51,Aug '15,0.95
52,Jul '15,1.01
53,Jun '15,1.01
54,May '15,0.81
55,Apr '15,0.82
56,Mar '15,0.83
57,Feb '15,0.83
58,Jan '15,0.77
