,Baseball player,Number of runs batted in
0,Hank Aaron,2297
1,Babe Ruth,2214
2,Albert Pujols,2100
3,Alex Rodriguez,2086
4,Cap Anson,2075
5,Barry Bonds,1996
6,Lou Gehrig,1995
7,Stan Musial,1951
8,Ty Cobb,1944
9,Jimmie Foxx,1922
10,Eddie Murray,1917
11,Willie Mays,1903
12,Mel Ott,1860
13,Carl Yastrzemski,1844
14,Ted Williams,1839
15,Ken Griffey,1836
16,Rafael Palmeiro,1835
17,Dave Winfield,1833
18,Manny Ramirez,1831
19,Al Simmons,1828
20,Frank Robinson,1812
21,David Ortiz,1768
22,Honus Wagner,1732
23,Miguel Cabrera,1729
24,Adrian Beltre,1707
25,Frank Thomas,1704
26,Reggie Jackson,1702
27,Jim Thome,1699
28,Cal Ripken,1695
29,Gary Sheffield,1676
