,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",162.74
1,Professional and business services,109.66
2,Manufacturing,99.65
3,Government and government enterprises,71.0
4,"Educational services, health care, and social assistance",67.8
5,Wholesale trade,62.72
6,Retail trade,40.22
7,Information,32.37
8,Transportation and warehousing,30.3
9,"Arts, entertainment, recreation, accommodation, and food services",29.95
10,Construction,23.68
11,Utilities,12.48
12,"Agriculture, forestry, fishing, and hunting",9.69
13,"Mining, quarrying, and oil and gas extraction",2.82
