,Response,Share of the vote
0,Hungary,61.91%
1,Italy,57.86%
2,Poland,53.62%
3,United Kingdom,33.95%
4,France,26.82%
5,Latvia,24.61%
6,Slovakia,19.39%
7,Netherlands,18.4%
8,Austria,18.24%
9,Croatia,17.92%
10,Sweden,15.34%
11,Denmark,14.46%
12,Finland,14.1%
13,Belgium,13.46%
14,Bulgaria,13.2%
15,Estonia,12.7%
16,Germany,11.3%
17,Greece,10.67%
18,Luxembourg,10.03%
19,Czechia,9.14%
20,Cyprus,8.25%
21,Lithuania,8.23%
22,Spain,6.21%
23,Slovenia,5.71%
24,Portugal,0%
25,Romania,0%
26,Malta,0%
27,Ireland,0%
