,Year,Gross domestic product in billion international dollars
0,2021*,162.05
1,2020*,150.73
2,2019*,152.78
3,2018,144.99
4,2017,137.34
5,2016,130.87
6,2015,126.15
7,2014,119.95
8,2013,112.76
9,2012,107.08
10,2011,101.86
11,2010,95.53
12,2009,91.85
13,2008,90.58
14,2007,85.72
15,2006,78.71
16,2005,72.37
17,2004,68.09
18,2003,64.4
19,2002,61.61
20,2001,58.18
21,2000,55.6
22,1999,53.06
23,1998,50.43
24,1997,47.68
25,1996,45.03
26,1995,43.01
27,1994,40.35
28,1993,38.17
29,1992,36.06
30,1991,33.71
31,1990,31.66
32,1989,29.6
33,1988,27.4
34,1987,25.48
35,1986,24.0
36,1985,23.5
37,1984,22.92
