,Country,Number of recoveries
0,India,9520827
1,Indonesia,531995
2,Bangladesh,431590
3,Philippines,420666
4,Pakistan,399852
5,Nepal,240363
6,Japan,158287
7,Myanmar,91537
8,China,81851
9,Malaysia,74030
10,Singapore,58252
11,South Korea,33982
12,Sri Lanka,26353
13,Australia,25700
14,Maldives,12828
15,Hong Kong,6534
16,Thailand,4005
17,New Zealand,2034
18,Vietnam,1263
19,Taiwan,619
20,Papua New Guinea,601
21,Mongolia,473
22,Bhutan,419
23,Cambodia,341
24,Brunei,148
25,Macao,46
26,Fiji,42
27,Laos,36
28,Timor-Leste,30
