,Month,Number of cases
0,"Jan 3, 2021",917
1,"Jan 2, 2021",576
2,"Jan 1, 2021",980
3,"Dec 31, 2020",1031
4,"Dec 30, 2020",1016
5,"Dec 29, 2020",749
6,"Dec 28, 2020",397
7,"Dec 27, 2020",838
8,"Dec 26, 2020",829
9,"Dec 25, 2020",784
10,"Dec 24, 2020",1041
11,"Dec 23, 2020",1133
12,"Dec 22, 2020",999
13,"Dec 21, 2020",356
14,"Dec 20, 2020",501
15,"Dec 19, 2020",920
16,"Dec 18, 2020",806
17,"Dec 17, 2020",1145
18,"Dec 16, 2020",930
19,"Dec 15, 2020",758
20,"Dec 14, 2020",199
21,"Dec 13, 2020",418
22,"Dec 12, 2020",617
23,"Dec 11, 2020",796
24,"Dec 10, 2020",675
25,"Dec 9, 2020",474
26,"Dec 8, 2020",550
27,"Dec 7, 2020",390
28,"Dec 6, 2020",318
29,"Dec 5, 2020",310
30,"Dec 4, 2020",324
31,"Dec 3, 2020",343
32,"Dec 2, 2020",122
33,"Dec 1, 2020",281
34,"Nov 30, 2020",145
35,"Nov 29, 2020",82
36,"Nov 28, 2020",110
37,"Nov 27, 2020",246
38,"Nov 26, 2020",169
39,"Nov 25, 2020",198
40,"Nov 24, 2020",168
41,"Nov 23, 2020",56
42,"Nov 22, 2020",155
43,"Nov 21, 2020",246
44,"Nov 20, 2020",143
45,"Nov 19, 2020",146
46,"Nov 18, 2020",236
47,"Nov 17, 2020",152
48,"Nov 16, 2020",157
49,"Nov 15, 2020",152
50,"Nov 14, 2020",112
51,"Nov 13, 2020",156
52,"Nov 12, 2020",212
53,"Nov 11, 2020",180
54,"Nov 10, 2020",152
55,"Nov 9, 2020",94
56,"Nov 8, 2020",300
57,"Nov 7, 2020",59
58,"Nov 6, 2020",223
59,"Nov 5, 2020",180
60,"Nov 4, 2020",155
61,"Nov 3, 2020",137
62,"Nov 2, 2020",72
63,"Nov 1, 2020",111
64,"Oct 31, 2020",162
65,"Oct 30, 2020",170
66,"Oct 29, 2020",150
67,"Oct 28, 2020",147
68,"Oct 27, 2020",113
69,"Oct 26, 2020",119
70,"Oct 25, 2020",62
71,"Oct 24, 2020",48
72,"Oct 23, 2020",77
73,"Oct 22, 2020",138
74,"Oct 21, 2020",37
75,"Oct 20, 2020",72
76,"Oct 19, 2020",118
77,"Oct 18, 2020",133
78,"Oct 17, 2020",113
79,"Oct 16, 2020",212
80,"Oct 15, 2020",148
81,"Oct 14, 2020",179
82,"Oct 13, 2020",225
83,"Oct 12, 2020",164
84,"Oct 11, 2020",163
85,"Oct 10, 2020",111
86,"Oct 9, 2020",151
87,"Oct 8, 2020",103
88,"Oct 7, 2020",155
89,"Oct 6, 2020",118
90,"Oct 5, 2020",120
91,"Oct 4, 2020",58
92,"Oct 3, 2020",160
93,"Oct 2, 2020",126
94,"Oct 1, 2020",153
95,"Sep 30, 2020",201
96,"Sep 29, 2020",187
97,"Sep 28, 2020",136
