,Cities,Average price per night in U.S. dollars
0,"Boston, USA",274
1,"Cancùn, Mexico",247
2,"New York, USA",231
3,"Dubai, UEA",226
4,"Macao, China",213
5,"Aberdeen, UK",209
6,"Newcastle, UK",208
7,"Monte-Carlo, Monaco",202
8,"Punta Cana, Dominican Republic",193
9,"Miami, USA",193
10,"Birmingham, UK",191
11,"Bristol, UK",179
12,"San Francisco, USA",178
13,"Rio de Janeiro, Brazil",176
14,"London, UK",176
15,"Zürich, Switzerland",172
16,"Nassau, Bahamas",171
17,"St Moritz, Switzerland",171
18,"Sydney, Australia",168
19,"Venice, Italy",166
