,Month,Number of players in thousands
0,Jan '20,59.19
1,Dec '19,84.08
2,Nov '19,87.62
3,Oct '19,60.93
4,Sept '19,80.47
5,Aug '19,96.26
6,Jul '19,94.91
7,Jun '19,74.26
8,May '19,97.07
9,Apr '19,107.9
10,Mar '19,115.1
11,Feb '19,74.47
12,Jan '19,82.27
13,Dec '18,89.03
14,Nov '18,131.77
15,Oct '18,99.74
16,Sept '18,86.98
17,Aug '18,107.1
18,Jul '18,118.19
19,Jun '18,129.0
20,May '18,73.1
21,Aprl '18,85.23
22,Mar '18,81.34
23,Feb '18,82.38
24,Jan '18,69.0
25,Dec '17,76.56
26,Nov '17,102.97
27,Oct '17,121.38
28,Sept '17,58.61
29,Aug '17,55.74
30,Jul '17,58.31
31,Jun '17,51.42
32,May '17,47.73
33,Apr '17,50.82
34,Mar '17,69.53
35,Feb '17,45.31
36,Jan '17,47.13
37,Dec '16,56.81
38,Nov '16,68.53
39,Oct '16,34.09
40,Sept '16,39.04
41,Aug '16,46.27
42,Jul '16,61.42
43,Jun '16,41.74
44,May '16,44.09
45,Apr '16,47.24
46,Mar '16,66.31
47,Feb '16,49.68
48,Jan '16,50.18
