,Year,Number of residents in thousands
0,2019,328239.52
1,2018,326687.5
2,2017,324985.54
3,2016,322941.31
4,2015,320635.16
5,2014,318301.01
6,2013,315993.72
7,2012,313830.99
8,2011,311556.87
9,2010,309321.67
10,2009,307007.0
11,2008,304375.0
12,2007,301580.0
13,2006,298593.0
14,2005,295753.0
15,2004,293046.0
16,2003,290326.0
17,2002,287804.0
18,2001,285082.0
19,2000,282172.0
20,1999,279040.0
21,1998,275854.0
22,1997,272647.0
23,1996,269394.0
24,1995,266278.0
25,1994,263126.0
26,1993,259919.0
27,1992,256514.0
28,1991,252981.0
29,1990,249623.0
30,1989,246819.0
31,1988,244499.0
32,1987,242289.0
33,1986,240133.0
34,1985,237924.0
35,1984,235825.0
36,1983,233792.0
37,1982,231664.0
38,1981,229466.0
39,1980,226546.0
