,Year,Revenue in U.S. dollars
0,War for the Planet of the Apes,12831070
1,Valerian and the City of a Thousand Planets,11174766
2,Cars 3,9918326
3,Despicable Me 3,4196533
4,What Happened to Monday?,3940555
5,Annabelle: Creation,3703326
6,Dunkirk,2984456
7,120 Beats Per Minute,2500786
8,The Son of Bigfoot,1903703
9,The Hitman's Bodyguard,1607633
10,Atomic Blond,1346369
11,Overdrive,1174605
12,Spider-Man: Homecoming,1090165
13,The Beguilded,1026964
14,Petit Paysan,827145
15,Baby Driver,702946
16,The Jungle Bunch,662324
17,Wish Upon,536272
18,Sales Gosses,513708
19,The Dark Tower,57259
