,State,Number of votes cast
0,Florida,5208155
1,Texas,4884528
2,California,4245925
3,Georgia,2097462
4,Colorado,2062777
5,Washington,2052507
6,North Carolina,2050864
7,Arizona,1625614
8,Tennessee,1375787
9,Oregon,1353105
10,Ohio,1313844
11,Illinois,1150355
12,Michigan,876064
13,Maryland,729578
14,Utah,700444
15,Nevada,628839
16,Wisconsin,565591
17,Minnesota,539806
18,Massachusetts,500000
19,Iowa,497085
20,New Mexico,430796
21,Arkansas,420000
22,Kansas,401731
23,New Jersey,355009
24,Montana,323903
25,Virginia,318239
26,Louisiana,311829
27,Indiana,292726
28,South Carolina,282971
29,North Dakota,186512
30,West Virginia,178322
31,Oklahoma,165598
32,Maine,153969
33,Idaho,138881
34,New York,95535
35,Pennsylvania,84906
36,Nebraska,80817
37,Missouri,79956
38,Alaska,62581
39,Vermont,55047
40,Kentucky,53211
41,District of Columbia,52510
42,Mississippi,39616
43,Hawaii,29925
44,Wyoming,29901
45,Alabama,21441
46,Delaware,16796
47,Rhode Island,12478
48,South Dakota,167
