,Response,Share of respondents
0,Never need to log onto public Wi-Fi again,48%
1,Lightning-fast browsing,48%
2,Download content 10x faster,37%
3,Better quality of video calls,27%
4,Stream UHD & 360° videos,21%
5,Instant cloud access,21%
6,Rich mobile information,19%
7,Share/transfer files instantly,19%
8,Remote office with wire-like connectivity,19%
9,Instant apps no download/install,18%
10,Social media live sharing in UHD,16%
11,Seamless screen mirroring,14%
12,Next-gen VR experience,14%
13,Interactive/graphics-intensive gaming,14%
14,Mobile AR services,12%
