,Year,Inflation rate compared to previous year
0,2024*,4.81%
1,2023*,5.23%
2,2022*,5.23%
3,2021*,5.13%
4,2020*,4.39%
5,2019*,3.91%
6,2018*,5.17%
7,2017*,4.95%
8,2016*,6.67%
9,2015,6%
10,2014,5.22%
11,2013,4.96%
12,2012,4.54%
13,2011,4.44%
14,2010,5.1%
15,2009,6.91%
16,2008,10.77%
17,2007,0.91%
18,2006,2.37%
19,2005,1.78%
20,2004,2.16%
21,2003,14.71%
22,2002,11.8%
23,2001,9.3%
24,2000,15.6%
25,1999,14.93%
26,1998,13.59%
27,1997,3.94%
28,1996,11.63%
29,1995,17.28%
30,1994,2.85%
31,1993,4.98%
32,1992,4.31%
33,1991,6.97%
34,1990,6.95%
35,1989,4.48%
36,1988,5.45%
37,1987,3.34%
38,1986,5.45%
39,1985,3.71%
40,1984,7.42%
