,State,Number of registrations
0,California,828083
1,Texas,636764
2,Florida,583685
3,Ohio,410165
4,New York,392176
5,Pennsylvania,376390
6,Illinois,333943
7,Wisconsin,324260
8,Montana,306651
9,Michigan,258487
10,Indiana***,250579
11,Minnesota,241556
12,Washington,231400
13,Georgia,203064
14,Iowa*,194273
15,Virginia,193298
16,Colorado,190002
17,North Carolina,188580
18,Massachusetts**,168931
19,Arizona,164053
20,Tennessee,163619
21,New Jersey,152979
22,Oregon,141987
23,Missouri,138294
24,Oklahoma,136189
25,Maryland,118201
26,South Carolina,117660
27,South Dakota,116807
28,Louisiana,113664
29,Alabama,111247
30,Kentucky,101085
31,Kansas,95892
32,Connecticut,90111
33,Arkansas,89457
34,Utah,83792
35,New Hampshire,78702
36,Nevada,76027
37,Idaho,63266
38,West Virginia,59236
39,New Mexico,57718
40,Nebraska,55716
41,North Dakota,51927
42,Maine,51466
43,Hawaii,35203
44,Alaska**,31852
45,Vermont,30955
46,Rhode Island,30814
47,Wyoming,28956
48,Mississippi,28124
49,Delaware,27810
50,Dist. of Col.,3897
