,Month,Units sold
0,Dec 19,2901
1,Nov 19,2874
2,Oct 19,2513
3,Sep 19,6863
4,Aug 19,1798
5,Jul 19,4435
6,Jun 19,4015
7,May 19,4643
8,Apr 19,3628
9,Mar 19,11023
10,Feb 19,2226
11,Jan 19,3887
12,Dec 18,2010
13,Nov 18,2872
14,Oct 18,3281
15,Sep 18,7991
16,Aug 18,1786
17,Jul 18,3431
18,Jun 18,5144
19,May 18,4408
20,Apr 18,4024
21,Mar 18,9050
22,Feb 18,2133
23,Jan 18,3488
24,Dec 17,2180
25,Nov 17,2849
26,Oct 17,3016
27,Sep 17,8301
28,Aug 17,2054
29,Jul 17,3206
30,Jun 17,4685
31,May 17,4028
32,Apr 17,2789
33,Mar 17,12977
34,Feb 17,2120
35,Jan 17,3250
36,Dec 16,2653
37,Nov 16,3030
38,Oct 16,3515
39,Sep 16,9108
40,Aug 16,2593
41,Jul 16,4311
42,Jun 16,6005
43,May 16,5783
44,Apr 16,4639
45,Mar 16,13734
46,Feb 16,3046
47,Jan 16,4574
48,Dec 15,4775
49,Nov 15,4216
50,Oct 15,4683
51,Sep 15,12496
52,Aug 15,2863
53,Jul 15,5496
54,Jun 15,7466
55,May 15*,6301
56,Apr 15,6458
57,Mar 15,16770
58,Feb 15,3074
59,Jan 15,5414
60,Dec 14,5182
61,Nov 14,5925
62,Oct 14,5748
63,Sep 14,14270
64,Aug 14,3003
65,Jul 14,5179
