,Month,Number of hours
0,Dec '19,46.2
1,Nov '19,48.1
2,Oct '19,87.9
3,Sep '19,144.0
4,Aug '19,173.6
5,Jul '19,173.2
6,Jun '19,160.8
7,May '19,188.5
8,Apr '19,168.9
9,Mar '19,115.6
10,Feb '19,100.6
11,Jan '19,47.9
12,Dec '18,37.6
13,Nov '18,63.0
14,Oct '18,113.2
15,Sep '18,134.1
16,Aug '18,147.4
17,Jul '18,237.6
18,Jun '18,239.9
19,May '18,246.0
20,Apr '18,132.6
21,Mar '18,85.0
22,Feb '18,95.6
23,Jan '18,48.7
24,Dec '17,45.3
25,Nov '17,71.1
26,Oct '17,72.7
27,Sep '17,109.0
28,Aug '17,155.5
29,Jul '17,168.7
30,Jun '17,155.7
31,May '17,208.3
32,Apr '17,158.0
33,Mar '17,119.7
34,Feb '17,55.0
35,Jan '17,55.1
36,Dec '16,40.7
37,Nov '16,74.7
38,Oct '16,105.3
39,Sep '16,119.9
40,Aug '16,181.7
41,Jul '16,156.4
42,Jun '16,136.5
43,May '16,209.6
44,Apr '16,160.8
45,Mar '16,117.3
46,Feb '16,84.9
47,Jan '16,37.1
48,Dec '15,29.2
49,Nov '15,35.6
50,Oct '15,91.2
51,Sep '15,157.8
52,Aug '15,148.8
53,Jul '15,160.6
54,Jun '15,189.7
55,May '15,174.4
56,Apr '15,212.9
57,Mar '15,121.9
58,Feb '15,76.0
59,Jan '15,58.5
60,Dec '14,57.1
61,Nov '14,51.9
62,Oct '14,82.8
63,Sep '14,123.3
64,Aug '14,171.0
65,Jul '14,223.0
66,Jun '14,178.4
67,May '14,149.6
68,Apr '14,144.9
69,Mar '14,126.7
70,Feb '14,75.0
71,Jan '14,42.8
