,Year,Inflation rate compared to previous year
0,2024*,1.77%
1,2023*,1.64%
2,2022*,1.55%
3,2021*,1.43%
4,2020*,1.05%
5,2019*,0.68%
6,2018,1.68%
7,2017,1.96%
8,2016,-0.2%
9,2015,-0.5%
10,2014,-0.15%
11,2013,1.41%
12,2012,2.45%
13,2011,3.2%
14,2010,1.8%
15,2009,-0.29%
16,2008,4.08%
17,2007,2.79%
18,2006,3.52%
19,2005,3.37%
20,2004,3.04%
21,2003,3.04%
22,2002,3.1%
23,2001,3.59%
24,2000,3.48%
25,1999,2.24%
26,1998,1.76%
27,1997,1.88%
28,1996,3.6%
29,1995,4.67%
30,1994,4.72%
31,1993,4.57%
32,1992,7.15%
33,1991,5.93%
34,1990,6.72%
35,1989,6.79%
36,1988,4.84%
37,1987,5.25%
38,1986,8.8%
39,1985,8.82%
40,1984,11.28%
