,Month,Number of unique visitors in millions
0,Jan '20,243.5
1,Dec '19,287.0
2,Nov '19,233.5
3,Oct '19,233.5
4,Sep '19,219.0
5,Aug '19,215.5
6,Jul '19,214.5
7,June '19,212.5
8,May '19,258.6
9,Apr '19,249.91
10,Feb '19,241.34
11,Jan '19,259.45
12,Nov '18,257.53
13,Oct '18,261.0
14,Sep '18,249.5
15,Aug '18,251.0
16,Jul '18,236.0
17,Jun '18,233.0
18,May '18,247.53
19,Dec '17,315.0
20,Oct '17,289.5
21,Aug '17,232.0
22,Jun '17,198.9
23,Feb '17,190.7
24,Oct '16,202.0
25,Sep '16,204.0
26,Aug '16,210.0
27,Jul '16,202.0
28,Jun '16,212.5
29,May '16,208.5
