,Year,GDP per capita in U.S. dollars
0,2024*,12177.22
1,2023*,11835.19
2,2022*,11138.8
3,2021*,10462.47
4,2020*,9730.91
5,2019*,9887.79
6,2018,11658.22
7,2017,14588.01
8,2016,12772.87
9,2015,14895.32
10,2014,13208.83
11,2013,14488.83
12,2012,13889.79
13,2011,12787.81
14,2010,10412.95
15,2009,8337.81
16,2008,9146.79
17,2007,7315.73
18,2006,5976.08
19,2005,5163.55
20,2004,4314.4
21,2003,3648.06
22,2002,2898.29
23,2001,7851.66
24,2000,8386.59
25,1999,8452.88
26,1998,9005.38
27,1997,8918.83
28,1996,8385.15
29,1995,8053.12
30,1994,8125.91
31,1993,7558.5
32,1992,7420.32
33,1991,6233.39
34,1990,4709.66
35,1989,2779.87
36,1988,4386.53
37,1987,3790.75
38,1986,3739.41
39,1985,3149.68
40,1984,4241.38
