,Year,Fertility rate
0,2020,1.68
1,2015,1.82
2,2010,1.92
3,2005,1.81
4,2000,1.86
5,1995,1.89
6,1990,1.8
7,1985,1.69
8,1980,1.81
9,1975,2.35
10,1970,2.8
11,1965,2.9
12,1960,2.84
13,1955,2.6
14,1950,2.61
15,1945,2.22
16,1940,1.88
17,1935,1.92
18,1930,2.35
19,1925,3.01
20,1920,3.44
21,1915,3.63
22,1910,3.89
23,1905,4.16
24,1900,4.47
25,1895,4.45
26,1890,4.44
27,1885,4.51
28,1880,4.65
29,1875,4.47
30,1870,4.35
31,1865,4.53
32,1860,4.61
33,1855,4.64
34,1850,4.43
35,1845,4.37
36,1840,4.11
37,1835,4.49
38,1830,4.74
39,1825,4.85
40,1820,4.71
41,1815,3.99
42,1810,3.95
43,1805,4.09
44,1800,4.32
