,Metropolitan statistical area,"Robbery cases per 100,000 population"
0,"Baltimore-Columbia-Towson, MD",242.7
1,"Oakland-Berkeley-Livermore, CA",227.7
2,"San Francisco-San Mateo-Redwood City, CA",225.0
3,"San Francisco-Oakland-Berkeley, CA",217.4
4,"Anchorage, AK",208.4
5,"Memphis, TN-MS-AR",207.1
6,"Stockton, CA",206.7
7,"Albuquerque, NM",194.0
8,"Los Angeles-Long Beach-Glendale, CA",185.0
9,"Detroit-Dearborn-Livonia, MI",166.0
10,"Los Angeles-Long Beach-Anaheim, CA",157.3
11,"Vineland-Bridgeton, NJ",157.1
12,"Fairbanks, AK",154.7
13,"Vallejo, CA",147.9
14,"Lubbock, TX",147.2
15,"Bakersfield, CA",138.1
16,"Milwaukee-Waukesha, WI",136.4
17,"Albany, GA",135.3
18,"Modesto, CA",131.7
19,"Miami-Miami Beach-Kendall, FL",131.5
20,"Macon-Bibb County, GA",130.0
21,"Monroe, LA",126.0
22,"Corpus Christi, TX",124.8
23,"Tucson, AZ",123.9
24,"Las Vegas-Henderson-Paradise, NV",123.7
25,"Cleveland-Elyria, OH",120.5
26,"Nashville-Davidson–Murfreesboro–Franklin, TN",119.1
27,"Beaumont-Port Arthur, TX",118.0
28,"Pine Bluff, AR",115.9
29,"Durham-Chapel Hill, NC",115.4
30,"Springfield, IL",115.3
31,"Miami-Fort Lauderdale-Pompano Beach, FL",114.0
32,"Riverside-San Bernardino-Ontario, CA",113.4
33,"Greensboro-High Point, NC",113.3
34,"Toledo, OH",111.8
35,"New Orleans-Metairie, LA",109.8
36,"Topeka, KS",109.5
37,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",108.7
38,"Alexandria, LA",108.5
39,"Florence, SC",107.8
40,"Baton Rouge, LA",107.4
41,"Trenton-Princeton, NJ",105.6
42,"Atlantic City-Hammonton, NJ",103.4
43,"Sacramento-Roseville-Folsom, CA",102.0
44,"Buffalo-Cheektowaga, NY",100.9
45,"Columbus, OH",99.9
46,"Washington-Arlington-Alexandria, DC-VA-MD-WV",99.9
47,"Urban Honolulu, HI",97.9
48,"Fort Wayne, IN",97.6
49,"Danville, IL",97.5
