,Year,Inflation rate compared to previous year
0,2025*,8.38%
1,2024*,9.28%
2,2023*,10.45%
3,2022*,12.3%
4,2021*,15.5%
5,2020*,15.7%
6,2019,14.8%
7,2018,16.03%
8,2017,18.22%
9,2016,10.88%
10,2015,6.69%
11,2014,4.65%
12,2013,5.52%
13,2012,6.59%
14,2011,6.79%
15,2010,7.19%
16,2009,7.47%
17,2008,8.21%
18,2007,16.97%
19,2006,10.53%
20,2005,13.7%
21,2004,12.92%
22,2003,3.99%
23,2002,0.12%
24,2001,2.57%
25,2000,-0.92%
26,1999,34.09%
27,1998,35.99%
28,1997,14.56%
29,1996,23.14%
30,1995,25.99%
31,1994,24.2%
32,1993,22.2%
33,1992,65.5%
34,1991,102.7%
35,1990,110.95%
36,1989,60.8%
37,1988,34.29%
38,1987,178.7%
39,1986,80.87%
40,1985,76.58%
