,baseball team,Facebook fans in millions
0,New York Yankees,8.52
1,Boston Red Sox,5.25
2,Chicago Cubs,3.43
3,Los Angeles Dodgers,3.41
4,San Francisco Giants,2.97
5,St. Louis Cardinals,2.4
6,Detroit Tigers,2.33
7,Texas Rangers,2.32
8,Atlanta Braves,2.25
9,Toronto Blue Jays,1.73
10,Philadelphia Phillies,1.69
11,Chicago White Sox,1.64
12,New York Mets,1.52
13,Houston Astros,1.42
14,Cleveland Indians,1.36
15,Los Angeles Angels,1.33
16,Kansas City Royals,1.25
17,Cincinnati Reds,1.25
18,Baltimore Orioles,1.24
19,Seattle Mariners,1.22
20,Minnesota Twins,1.21
21,Pittsburgh Pirates,1.18
22,Milwaukee Brewers,1.11
23,Colorado Rockies,0.93
24,Oakland Athletics,0.81
25,Arizona Diamondbacks,0.77
26,San Diego Padres,0.75
27,Washington Nationals,0.73
28,Tampa Bay Rays,0.73
29,Miami Marlins,0.72
