,State,Unemployment rate
0,New Jersey,10.2%
1,Hawaii,10.1%
2,Nevada,10.1%
3,New York,8.4%
4,Louisiana,8.3%
5,Connecticut,8.2%
6,California,8.2%
7,Alaska,8.1%
8,Texas,8.1%
9,Arizona,7.8%
10,District of Columbia,7.5%
11,New Mexico,7.5%
12,Rhode Island,7.3%
13,Illinois,6.9%
14,Michigan,6.9%
15,Maryland,6.8%
16,Massachusetts,6.7%
17,Pennsylvania,6.6%
18,Florida,6.4%
19,Mississippi,6.4%
20,Colorado,6.4%
21,Arkansas,6.2%
22,North Carolina,6.2%
23,West Virginia,6.2%
24,Washington,6%
25,Oregon,6%
26,Oklahoma,5.9%
27,Georgia,5.7%
28,Ohio,5.7%
29,Kansas,5.6%
30,Kentucky,5.6%
31,Tennessee,5.3%
32,Delaware,5.1%
33,Wyoming,5.1%
34,Maine,5%
35,Wisconsin,5%
36,Indiana,5%
37,Montana,4.9%
38,Virginia,4.9%
39,Idaho,4.8%
40,North Dakota,4.5%
41,South Carolina,4.4%
42,Minnesota,4.4%
43,Alabama,4.4%
44,Missouri,4.4%
45,Utah,4.3%
46,New Hampshire,3.8%
47,Iowa,3.6%
48,South Dakota,3.5%
49,Nebraska,3.1%
50,Vermont,3.1%
