,daily newspaper,Number of copies sold*
0,Corriere della Sera,226788
1,La Repubblica,171849
2,La Gazzetta dello Sport (monday's edition),135380
3,La Gazzetta dello Sport,129838
4,La Stampa,112182
5,Il Sole 24 Ore,104412
6,Avvenire,102556
7,Il Resto del Carlino,83682
8,Il Messaggero,79682
9,Corriere dello Sport  (monday's edition),67355
10,La Nazione,59207
11,Il Gazzettino,58949
12,Tuttosport (monday's edition),46535
13,Il Giornale,44635
14,Tuttosport,42512
15,Dolomiten,37889
16,Il Fatto Quotidiano,36978
17,Il Giorno,35413
18,Messaggero Veneto,35114
19,Il Secolo XIX,34130
