,Response,Share of respondents
0,Low-carb diet,19%
1,Low-calorie diet,14%
2,Increasing intake of fruit and vegetables,10%
3,Eating meals regularly,9%
4,Limiting fat intake,7%
5,"Consuming herbs, herbal teas",7%
6,Limiting meat intake,6%
7,"Limiting intake of bread, potatoes, flour products",6%
8,"Well-balanced diet, planned by dietician",5%
9,High-protein diet,5%
10,Easily digestable diet,5%
11,Gluten-free diet,4%
12,Particular way of preparing food,3%
13,Generally healthier eating,3%
14,"Consuming supplements, microelements",3%
15,Limiting milk intake,2%
