,Year,GDP per capita in U.S. dollars
0,2025*,16284.03
1,2024*,15088.81
2,2023*,13963.95
3,2022*,12924.31
4,2021*,11955.58
5,2020*,10839.44
6,2019*,10522.34
7,2018,9919.81
8,2017,8823.46
9,2016,8119.62
10,2015,8084.8
11,2014,7694.15
12,2013,7073.49
13,2012,6306.66
14,2011,5560.74
15,2010,4499.79
16,2009,3813.41
17,2008,3446.78
18,2007,2691.07
19,2006,2095.21
20,2005,1751.43
21,2004,1499.75
22,2003,1282.2
23,2002,1141.15
24,2001,1044.97
25,2000,951.15
26,1999,865.23
27,1998,820.91
28,1997,774.91
29,1996,703.07
30,1995,603.54
31,1994,468.66
32,1993,520.96
33,1992,420.03
34,1991,356.77
35,1990,346.86
36,1989,406.52
37,1988,368.07
38,1987,299.83
39,1986,279.91
40,1985,293.01
