,Year,GDP per capita in U.S. dollars
0,2025*,5095.48
1,2024*,4769.52
2,2023*,4472.16
3,2022*,4197.94
4,2021*,3927.5
5,2020*,3697.89
6,2019,3852.48
7,2018,4078.68
8,2017,4076.75
9,2016,3885.76
10,2015,3842.25
11,2014,3818.4
12,2013,3608.29
13,2012,3349.78
14,2011,3212.76
15,2010,2807.66
16,2009,2396.63
17,2008,2336.44
18,2007,1869.83
19,2006,1645.07
20,2005,1431.3
21,2004,1221.08
22,2003,1125.19
23,2002,1027.57
24,2001,983.97
25,2000,1031.36
26,1999,992.64
27,1998,992.41
28,1997,968.15
29,1996,873.67
30,1995,802.02
31,1994,761.44
32,1993,666.44
33,1992,629.98
34,1991,591.05
35,1990,546.34
36,1989,482.13
37,1988,485.17
38,1987,468.85
39,1986,454.72
40,1985,428.51
