,biopharmaceutical companies,Share price change Jan 20 to Feb 25
0,Novacyt,799%
1,Co-Diagnostics,296%
2,Cocrystal Pharma,256%
3,Nanoviricides,135%
4,Zhejiang Hisun Pharmaceutical,52%
5,Faron Pharmaceuticals,49%
6,AIM Immunotech,44%
7,Novavax,39%
8,Q Biomed,34%
9,Vir Biotechnology,33%
10,Ibio,32%
11,Cytosorbents,24%
12,Cerus,20%
13,Moderna,15%
14,Regeneron Pharmaceuticals,15%
15,Inovio Pharmaceuticals,14%
16,Innovation Pharmaceuticals,13%
17,Gilead Sciences,11%
18,Immunoprecise Antibodies,7%
19,CSL,7%
20,Seegene,6%
21,Cytodyn,5%
22,Pharmamar,2%
23,Roche,1%
