,Year,Number of families in millions
0,2019,83.48
1,2018,83.09
2,2017,82.83
3,2016,82.18
4,2015,81.72
5,2014,81.35
6,2013,80.9
7,2012,80.51
8,2011,78.61
9,2010,78.83
10,2009,78.85
11,2008,77.87
12,2007,78.43
13,2006,77.4
14,2005,76.86
15,2004,76.22
16,2003,75.6
17,2002,74.33
18,2001,73.77
19,2000,72.03
20,1999,71.54
21,1998,70.88
22,1997,70.24
23,1996,69.59
24,1995,69.31
25,1994,68.49
26,1993,68.14
27,1992,67.17
28,1991,66.32
29,1990,66.09
30,1989,65.84
31,1988,65.13
32,1987,64.49
33,1986,63.56
34,1985,62.71
35,1984,62.0
36,1983,61.39
37,1982,61.02
38,1981,60.31
39,1980,59.55
40,1979,57.8
41,1978,57.22
42,1977,56.71
43,1976,56.25
44,1975,55.71
45,1974,55.05
46,1973,54.37
47,1972,53.3
48,1971,52.23
49,1970,51.59
50,1960,45.11
