,Month,Units sold
0,Dec '19,297
1,Nov '19,506
2,Oct '19,668
3,Sep '19,779
4,Aug '19,574
5,Jul '19,660
6,Jun '19,619
7,May '19,596
8,Apr '19,559
9,Mar '19,668
10,Feb '19,343
11,Jan '19,359
12,Dec '18,283
13,Nov '18,391
14,Oct '18,452
15,Sep '18,582
16,Aug '18,462
17,Jul '18,380
18,Jun '18,412
19,May '18,409
20,Apr '18,334
21,Mar '18,327
22,Feb '18,233
23,Jan '18,274
24,Dec '17,343
25,Nov '17,353
26,Oct '17,406
27,Sep '17,578
28,Aug '17,392
29,Jul '17,466
30,Jun '17,0
31,May '17,0
32,Apr '17,0
33,Mar '17,0
34,Feb '17,140
35,Jan '17,131
