,Response,Share of population
0,Liechtenstein,36%
1,Switzerland,35%
2,Austria,34%
3,Finland,23%
4,Norway,22%
5,Czech Republic,21%
6,Andorra,20%
7,Germany,18%
8,Iceland,18%
9,Sweden,18%
10,Slovakia,18%
11,Slovenia,14%
12,France,13%
13,Poland,13%
14,Denmark,12%
15,Italy,12%
16,Belgium,11%
17,United Kingdom,10%
18,Latvia,10%
19,Montenegro,10%
20,Macedonia,7%
21,Hungary,6%
22,Lithuania,5%
23,Estonia,5%
24,Croatia,5%
25,Bulgaria,5%
26,Bosnia and Herzegovina,5%
27,Spain,5%
28,Russia,3%
29,Romania,3%
30,Serbia,3%
31,Kosovo,3%
32,Georgia,2%
33,Portugal,2%
34,Greece,2%
35,Ukraine,2%
36,Belarus,2%
37,Armenia,2%
38,Turkey,1%
39,Azerbaijan,1%
40,Kazakhstan,1%
41,Kyrgyzstan,1%
42,Albania,1%
