,Year,Gross domestic product in billion U.S. dollars
0,2024*,453.73
1,2023*,419.83
2,2022*,397.35
3,2021*,376.54
4,2020*,353.0
5,2019*,302.26
6,2018,249.56
7,2017,236.53
8,2016,332.48
9,2015,332.08
10,2014,305.57
11,2013,288.01
12,2012,278.77
13,2011,247.73
14,2010,230.02
15,2009,198.32
16,2008,170.8
17,2007,137.06
18,2006,112.9
19,2005,94.13
20,2004,82.86
21,2003,85.16
22,2002,90.26
23,2001,102.27
24,2000,104.75
25,1999,95.04
26,1998,89.19
27,1997,79.77
28,1996,71.11
29,1995,63.26
30,1994,54.55
31,1993,49.53
32,1992,44.17
33,1991,48.43
34,1990,96.09
35,1989,115.36
36,1988,92.53
37,1987,77.36
38,1986,54.08
39,1985,48.84
40,1984,41.89
