,State,Number of deaths
0,New York City total,17609
1,Kings (Brooklyn),5467
2,Queens,5409
3,Bronx,3567
4,Nassau,2428
5,Suffolk,2361
6,New York (Manhattan),2266
7,Westchester,1683
8,Erie,1240
9,Richmond (Staten Island),900
10,Rockland,779
11,Monroe,603
12,Orange,597
13,Onondaga,473
14,Oneida,268
15,Dutchess,250
16,Albany,229
17,Broome,213
18,Niagara,190
19,Ulster,149
20,Steuben,139
21,Chemung,99
22,Rensselaer,91
23,Schenectady,91
24,Allegany,74
25,Madison,69
26,Putnam,67
27,Ontario,67
28,Tioga,64
29,Orleans,64
30,Columbia,61
31,Sullivan,57
32,Genesee,57
33,Montgomery,53
34,Cattaraugus,50
35,Saratoga,48
36,St. Lawrence,46
37,Cortland,45
38,Oswego,44
39,Wayne,42
40,Seneca,39
41,Warren,39
42,Fulton,38
43,Chautauqua,36
44,Cayuga,32
45,Herkimer,31
46,Greene,29
47,Wyoming,26
48,Livingston,26
49,Chenango,24
50,Otsego,17
51,Lewis,17
52,Washington,16
53,Essex,16
54,Tompkins,15
55,Jefferson,13
56,Yates,13
57,Delaware,12
58,Schuyler,10
59,Franklin,9
60,Clinton,8
61,Schoharie,5
62,Hamilton,1
