,Month,Number of players in thousands
0,Nov '20,1037.46
1,Oct '20,943.88
2,Sep ''20,977.77
3,Aug '20,925.35
4,Jul '20,857.56
5,Jun '20,1009.47
6,May '20,1193.36
7,Apr '20,1305.71
8,Mar '20,1145.97
9,Feb '20,917.0
10,Jan '20,817.23
11,Dec '19,767.06
12,Nov '19,758.41
13,Oct '19,747.94
14,Sept '19,720.05
15,Aug '19,647.46
16,Jul' 19,578.93
17,Jun '19,587.72
18,May '19,588.45
19,Apr '19,621.61
20,Mar '19,680.07
21,Feb '19,654.07
22,Jan '19,684.51
23,Dec '18,746.55
24,Nov '18,546.03
25,Oct '18,565.97
26,Sept '18,583.03
27,Aug '18,454.37
28,Jul '18,426.01
29,Jun '18,420.26
30,May '18,454.48
31,Aprl '18,523.26
32,Mar '18,672.5
33,Feb '18,686.59
34,Jan '18,715.85
35,Dec '17,598.41
36,Nov '17,601.88
37,Oct '17,639.97
38,Sept '17,665.37
39,Aug '17,595.78
40,Jul '17,624.79
41,Jun '17,614.62
42,May '17,692.97
43,Apr '17,709.84
44,Mar '17,742.36
45,Feb '17,744.47
46,Jan '17,814.62
47,Dec '16,662.46
48,Nov '16,627.12
49,Oct '16,661.99
50,Sept '16,638.36
51,Aug '16,599.1
52,Jul '16,636.06
53,Jun '16,579.11
54,May '16,668.61
55,Apr '16,850.49
56,Mar '16,737.6
57,Feb '16,738.97
58,Jan '16,667.43
