,Year,Expenses in million U.S. dollars
0,2020 Q3,1.93
1,2020 Q2,1.69
2,2020 Q1,1.8
3,2019 Q4,2.74
4,2019 Q3,2.77
5,2019 Q2,2.94
6,2019 Q1,3.36
7,2018 Q4,4.9
8,2018 Q3,5.46
9,2018 Q2,5.83
10,2018 Q1,5.02
11,2017 Q4,4.42
12,2017 Q3,4.17
13,2017 Q2,5.93
14,2017 Q1,3.52
15,2016 Q4,3.58
16,2016 Q3,3.81
17,2016 Q2,4.24
18,2016 Q1,3.8
19,2015 Q4,3.29
20,2015 Q3,3.65
21,2015 Q2,4.62
22,2015 Q1,5.47
23,2014 Q4,3.78
24,2014 Q3,3.94
25,2014 Q2,5.29
26,2014 Q1,3.82
27,2013 Q4,3.98
28,2013 Q3,3.37
29,2013 Q2,3.36
30,2013 Q1,3.35
31,2012 Q4,3.35
32,2012 Q3,4.18
33,2012 Q2,3.92
34,2012 Q1,5.03
35,2011 Q4,3.76
36,2011 Q3,2.38
37,2011 Q2,2.06
38,2011 Q1,1.48
39,2010 Q4,1.24
40,2010 Q3,1.2
41,2010 Q2,1.34
42,2010 Q1,1.38
