,Month,Number of deaths
0,Dec 14,3277
1,Dec 13,4498
2,Dec 12,5421
3,Dec 11,5666
4,Dec 10,5370
5,Dec 9,6074
6,Dec 8,4090
7,Dec 7,3769
8,Dec 6,4255
9,Dec 5,5708
10,Dec 4,5709
11,Dec 3,5661
12,Dec 2,6195
13,Dec 1,4834
14,Nov 30,3931
15,Nov 29,4115
16,Nov 28,5986
17,Nov 27,5561
18,Nov 26,5701
19,Nov 25,6342
20,Nov 24,5170
21,Nov 23,3451
22,Nov 22,3736
23,Nov 21,5886
24,Nov 20,5113
25,Nov 19,5186
26,Nov 18,5830
27,Nov 17,4677
28,Nov 16,3488
29,Nov 15,3845
30,Nov 14,4592
31,Nov 13,4523
32,Nov 12,4750
33,Nov 11,5420
34,Nov 10,3730
35,Nov 9,2992
36,Nov 8,3314
37,Nov 7,4144
38,Nov 6,3845
39,Nov 5,4035
40,Nov 4,5482
41,Nov 3,2714
42,Nov 2,2404
43,Nov 1,2573
44,Oct 31,2940
45,Oct 30,2746
46,Oct 29,2693
47,Oct 28,2802
48,Oct 27,1964
49,Oct 26,1730
50,Oct 25,1746
51,Oct 24,1887
52,Oct 23,1977
53,Oct 22,1868
54,Oct 21,1738
55,Oct 20,1400
56,Oct 19,1273
57,Oct 18,1179
58,Oct 17,1289
59,Oct 16,1444
60,Oct 15,1328
61,Oct 14,1380
62,Oct 13,834
63,Oct 12,903
64,Oct 11,965
65,Oct 10,794
66,Oct 9,1075
67,Oct 8,1026
68,Oct 7,966
69,Oct 6,930
70,Oct 5,547
71,Oct 4,665
72,Oct 3,767
73,Oct 2,778
74,Oct 1,856
75,Sep 30,883
76,Sep 29,661
77,Sep 28,607
78,Sep 27,623
79,Sep 26,648
80,Sep 25,709
81,Sep 24,699
82,Sep 23,735
83,Sep 22,642
84,Sep 21,517
85,Sep 20,470
86,Sep 19,635
87,Sep 18,600
88,Sep 17,600
89,Sep 16,864
90,Sep 15,505
91,Sep 14,465
92,Sep 13,334
93,Sep 12,379
94,Sep 11,64
95,Sep 10,320
96,Sep 9,525
97,Sep 8,440
98,Sep 7,322
99,Sep 6,413
100,Sep 5,332
101,Sep 4,568
102,Sep 3,446
103,Sep 2,465
104,Sep 1,403
105,Aug 31,334
106,Aug 30,323
107,Aug 29,338
108,Aug 28,341
109,Aug 27,439
110,Aug 26,448
