,Year,GDP per capita in U.S. dollars
0,2025*,12973.27
1,2024*,12393.21
2,2023*,11861.39
3,2022*,11334.66
4,2021*,10792.47
5,2020*,9972.5
6,2019,11601.42
7,2018,11344.98
8,2017,10723.99
9,2016,8723.52
10,2015,9257.93
11,2014,14069.1
12,2013,15942.14
13,2012,15358.09
14,2011,14271.68
15,2010,11406.19
16,2009,9149.11
17,2008,12429.09
18,2007,9721.86
19,2006,7395.82
20,2005,5693.94
21,2004,4392.86
22,2003,3186.72
23,2002,2547.87
24,2001,2251.27
25,2000,1899.41
26,1999,1427.75
27,1998,1969.2
28,1997,2934.36
29,1996,2833.11
30,1995,2263.51
