,Month,Cumulative number of performed tests
0,Dec 20,6606666
1,Dec 19,6606065
2,Dec 18,6574347
3,Dec 17,6487206
4,Dec 16,6485818
5,Dec 15,6436374
6,Dec 14,6383615
7,Dec 13,6352258
8,Dec 12,6336536
9,Dec 11,6299033
10,Dec 10,6261030
11,Dec 9,6219547
12,Dec 8,6173667
13,Dec 7,6147077
14,Dec 6,6105524
15,Dec 5,6105191
16,Dec 4,6081132
17,Dec 3,6045930
18,Dec 2,6011904
19,Dec 1,5975439
20,Nov 30,5931234
21,Nov 29,5907481
22,Nov 28,5895952
23,Nov 27,5870957
24,Nov 26,5838117
25,Nov 25,5804653
26,Nov 24,5767557
27,Nov 23,5719938
28,Nov 22,5687407
29,Nov 21,5687229
30,Nov 20,5666573
31,Nov 19,5633233
32,Nov 18,5598436
33,Nov 17,5562417
34,Nov 16,5521488
35,Nov 15,5508051
36,Nov 14,5481911
37,Nov 13,5459867
38,Nov 12,5423372
39,Nov 11,5395590
40,Nov 10,5356710
41,Nov 9,5319529
42,Nov 8,5298033
43,Nov 7,5284749
44,Nov 6,5250349
45,Nov 5,5212905
46,Nov 4,5126695
47,Nov 3,5068561
48,Nov 2,5041257
49,Nov 1,5038017
50,Oct 31,5014066
51,Oct 30,4959928
52,Oct 29,4894595
53,Oct 28,4823169
54,Oct 27,4745513
55,Oct 26,4674229
56,Oct 25,4624346
57,Oct 24,4584917
58,Oct 23,4519821
59,Oct 22,4451429
60,Oct 21,4371927
61,Oct 20,4291650
62,Oct 19,4213612
63,Oct 18,4157768
64,Oct 17,4113101
65,Oct 16,4051357
66,Oct 15,3983078
67,Oct 14,3917087
68,Oct 13,3844262
69,Oct 12,3784750
70,Oct 11,3740242
71,Oct 10,3709885
72,Oct 9,3662408
73,Oct 8,3608849
74,Oct 7,3558995
75,Oct 6,3504551
76,Oct 5,3458733
77,Oct 4,3431361
78,Oct 3,3413404
79,Oct 2,3377647
80,Oct 1,3336859
81,Sep 30,3295375
82,Sep 29,3249225
83,Sep 28,3201431
84,Sep 27,3173150
85,Sep 26,3152846
86,Sep 25,3119436
87,Sep 24,3082037
88,Sep 23,3041628
89,Sep 22,2997200
90,Sep 21,2952154
91,Sep 20,2916985
92,Sep 19,2894782
93,Sep 18,2868322
94,Sep 17,2826852
95,Sep 16,2783627
96,Sep 15,2736948
97,Sep 14,2694641
98,Sep 13,2665332
99,Sep 12,2599453
100,Sep 11,2566088
101,Sep 10,2532095
102,Sep 9,2498724
103,Sep 8,2466280
104,Sep 7,2449055
105,Sep 6,2419095
106,Sep 5,2415673
107,Sep 4,2390994
108,Sep 3,2364713
109,Sep 2,2336975
110,Sep 1,2292487
111,Aug 31,2289784
112,Aug 30,2278713
113,Aug 29,2261043
114,Aug 28,2234172
115,Aug 27,2211804
116,Aug 26,2189246
117,Aug 25,2162690
118,Aug 24,2144563
119,Aug 23,2135402
120,Aug 22,2119749
121,Aug 21,2099750
122,Aug 20,2074445
123,Aug 19,2049976
124,Aug 18,2023900
125,Aug 17,2008070
126,Aug 16,1999543
127,Aug 15,1983514
128,Aug 14,1962386
129,Aug 13,1924348
130,Aug 12,1912240
131,Aug 11,1888690
132,Aug 10,1872714
133,Aug 9,1859218
134,Aug 8,1840529
135,Aug 7,1819137
136,Aug 6,1791554
137,Aug 5,1767120
138,Aug 4,1743265
139,Aug 3,1728283
140,Aug 2,1703059
141,Aug 1,1694349
142,Jul 31,1670785
143,Jul 30,1644394
144,Jul 29,1618788
145,Jul 28,1588423
146,Jul 27,1575452
147,Jul 26,1562934
148,Jul 25,1548472
149,Jul 24,1531766
150,Jul 23,1514046
151,Jul 22,1501396
152,Jul 21,1484430
153,Jul 20,1474305
154,Jul 17,1444885
155,Jul 16,1429053
156,Jul 15,1412925
157,Jul 14,1398080
158,Jul 13,1390593
159,Jul 10,1361830
160,Jul 9,1349831
161,Jul 8,1335704
162,Jul 7,1322052
163,Jul 6,1313064
164,Jul 3,1284605
165,Jul 2,1270677
166,Jul 1,1251345
167,Jun 30,1239232
168,Jun 29,1226238
169,Jun 26,1191959
170,Jun 25,1178721
171,Jun 24,1161971
172,Jun 23,1145258
173,Jun 22,1131883
174,Jun 19,1087369
175,Jun 18,1071939
176,Jun 17,1056075
177,Jun 16,1045014
178,Jun 15,1036321
179,Jun 14,1024302
180,Jun 13,1010059
181,Jun 12,996785
182,Jun 11,983670
183,Jun 10,969619
184,Jun 9,958513
185,Jun 8,949675
186,May 17,696840
187,May 16,663775
188,May 15,645314
189,May 14,623628
190,May 13,605337
191,May 12,595631
192,May 11,584807
193,May 10,566101
194,May 9,540643
195,May 8,515233
196,May 7,493325
197,May 6,474176
198,May 5,456194
199,May 4,440700
200,May 3,423971
201,May 2,399584
202,May 1,374197
203,Apr 30,345047
