,Year,Gross domestic product in billion U.S. dollars
0,2024*,2238.47
1,2023*,2122.74
2,2022*,2013.45
3,2021*,1910.94
4,2020*,1812.46
5,2019*,1730.91
6,2018,1712.48
7,2017,1649.93
8,2016,1530.02
9,2015,1556.51
10,2014,1805.75
11,2013,1847.21
12,2012,1828.69
13,2011,1792.83
14,2010,1617.27
15,2009,1374.62
16,2008,1552.93
17,2007,1468.82
18,2006,1319.31
19,2005,1173.14
20,2004,1026.67
21,2003,895.57
22,2002,760.64
23,2001,739.0
24,2000,744.77
25,1999,678.4
26,1998,634.01
27,1997,654.98
28,1996,630.6
29,1995,605.92
30,1994,579.92
31,1993,579.06
32,1992,594.36
33,1991,612.51
34,1990,596.08
35,1989,567.21
36,1988,509.37
37,1987,433.13
38,1986,379.0
39,1985,366.19
40,1984,356.72
