,Year,GDP per capita in U.S. dollars
0,2024*,84994.94
1,2023*,83077.62
2,2022*,81395.03
3,2021*,79878.62
4,2020*,78333.22
5,2019*,77975.43
6,2018*,81549.98
7,2017,75306.64
8,2016,70223.84
9,2015,74115.18
10,2014,96657.58
11,2013,102722.0
12,2012,101273.38
13,2011,100307.39
14,2010,87432.38
15,2009,79836.11
16,2008,96626.3
17,2007,84946.46
18,2006,73936.76
19,2005,66652.74
20,2004,57478.74
21,2003,20023.11
22,2002,42974.68
23,2001,38501.58
24,2000,38063.12
25,1999,36278.68
26,1998,34717.45
27,1997,36560.86
28,1996,37224.69
29,1995,34789.46
30,1994,29236.41
31,1993,27880.63
32,1992,30432.93
33,1991,28514.5
34,1990,28187.22
35,1989,24245.45
36,1988,24143.16
37,1987,22445.07
38,1986,18853.07
39,1985,15728.22
40,1984,14968.79
