,CEO,Market cap in billion U.S. dollars
0,Larry Page (Google),199.05
1,Andrew Mason (Groupon),12.41
2,Kevin Plank (Under Armour),4.27
3,Andrew Silvernail (IDEX Corporation),3.54
4,Elon Musk (Tesla Motors),3.28
5,Mitchell Krebs (Coeur d'Alene Mines Corporation),2.42
6,Robert Pera (Ubiquiti Networks),2.27
7,Aaron Jagdfeld (Generac Holdings Inc.),2.0
8,"Edward Rosenfeld (Steven Madden, Ltd.)",1.72
9,J. Mariner Kemper (UMB Financial Corporation),1.64
10,Barry Zyskind (AmTrust Financial Services),1.59
11,Jose Ramon Mas (MasTec),1.52
12,Michael Reger (Northern Oil & Gas),1.49
13,"Justin Hutchens (National Health Investors, Inc.)",1.38
14,"Gregory Frost (Halozyme Therapeutics, Inc.)",1.17
15,"Marcus Ryu (Guidewire Software, Inc.)",1.13
16,John De Meritt (Francesca's Holdings Corp.),1.02
17,Spencer Rascoff (Zillow),0.92
18,Leonard Tannenbaum (Fifth Street Finance Corp.),0.85
19,"Sardar Biglari (Biglari Holdings, Inc.)",0.59
