,Quarter,Net income in million U.S. dollars
0,Q4 '20,-710
1,Q3 '20,-4718
2,Q2 '20,475
3,Q1 '20,2133
4,Q4 '19,785
5,Q3 '19,1430
6,Q2 '19,5431
7,Q1 '19,2788
8,Q4 '18,2322
9,Q3 '18,2916
10,Q2 '18,2937
11,Q1 '18,4423
12,Q4 '17,1747
13,Q3 '17,2366
14,Q2 '17,2388
15,Q1 '17,2479
16,Q4 '16,1771
17,Q3 '16,2597
18,Q2 '16,2143
19,Q1 '16,2880
20,Q4 '15,1609
21,Q3 '15,2483
22,Q2 '15,2108
23,Q1 '15,2228
24,Q4 '14,1499
25,Q3 '14,2245
26,Q2 '14,1917
27,Q1 '14,1840
28,Q4 '13,1394
29,Q3 '13,1847
30,Q2 '13,1513
31,Q1 '13,1382
32,Q4 '12,1244
33,Q3 '12,1831
34,Q2 '12,1143
35,Q1 '12,1464
36,Q4 '11,1087
37,Q3 '11,1476
38,Q2 '11,942
39,Q1 '11,1302
40,Q4 '10,835
41,Q3 '10,1331
42,Q2 '10,953
43,Q1 '10,844
