,Country,Mortgage interest rate
0,Algeria,10%
1,Angola,16%
2,Benin*,-
3,Botswana,8%
4,Burkina Faso*,-
5,Burundi*,-
6,Cameroon,20%
7,Cape Verde,15%
8,Central African Republic,15%
9,Chad,12%
10,Comoros,11%
11,Congo Republic,20%
12,Cote d'Ivoire,8.38%
13,Democratic Republic of Congo,14%
14,Djibouti,7%
15,Egypt,7%
16,Equatorial Guinea,15%
17,Eritrea,10%
18,eSwatini,10%
19,Ethiopia,18%
20,Gabon,3%
21,Gambia,17%
22,Ghana,34%
23,Guinea,33%
24,Guinea Bissau,11%
25,Kenya,14%
26,Lesotho,12%
27,Liberia,13%
28,Libya,6%
29,Madagascar,20%
30,Malawi,20%
31,Mali,9%
32,Mauritania,8%
33,Mauritius,19%
34,Morocco,8%
35,Mozambique,28%
36,Namibia,13%
37,Niger,7%
38,Nigeria,25%
39,Rwanda,18%
40,Sao Tome and Principe,7%
41,Senegal,8%
42,Seychelles,11%
43,Sierra Leone,23%
44,Somalia,10%
45,South Africa,12%
46,South Sudan,25%
47,Sudan,14%
48,Tanzania,19%
49,Togo,7%
50,Tunisia,8%
51,Uganda,20%
52,Western Sahara*,-
53,Zambia,29%
54,Zimbabwe,12%
