,Year,Inflation rate compared to previous year
0,2025*,3.02%
1,2024*,3.05%
2,2023*,3.02%
3,2022*,3.04%
4,2021*,3.39%
5,2020*,3.65%
6,2019,3.37%
7,2018,2.85%
8,2017,2.41%
9,2016,0.42%
10,2015,-0.07%
11,2014,-0.22%
12,2013,1.72%
13,2012,5.67%
14,2011,3.92%
15,2010,4.87%
16,2009,4.2%
17,2008,6.05%
18,2007,7.97%
19,2006,3.92%
20,2005,3.56%
21,2004,6.75%
22,2003,4.66%
23,2002,5.27%
24,2001,9.16%
25,2000,9.78%
26,1999,10.02%
27,1998,14.17%
28,1997,18.29%
29,1996,23.46%
30,1995,28.3%
31,1994,18.87%
32,1993,22.45%
33,1992,22.95%
34,1991,34.23%
35,1990,28.97%
36,1989,16.95%
37,1988,15.79%
38,1987,8.68%
39,1986,5.29%
40,1985,7.01%
