,Kickstarter project,Funds raised in million U.S. dollars
0,Pebble Time (2015),20.34
1,Coolest Cooler (2014),13.29
2,Frosthaven (2020),12.97
3,"Pebble 2, Time 2 + All-New Pebble Core (2016)",12.78
4,Kingdom Death: Monster 1.5 (2017),12.39
5,Travel Tripod by Peak Design (2019),12.14
6,Critical Role: The Legend of Vox Machina Animated Special (2019),11.39
7,Pebble: E-Paper Watch for iPhone and Android (2012),10.27
8,The World's Best Travel Jacket (2015),9.19
9,The Wyrmwood Modular Gaming Table: Coffee & Dining Models,8.81
10,Exploding Kittens (2015),8.78
11,OUYA: A New Kind of Video Game Console (2012),8.6
12,Snapmaker 2.0: Modular 3-in-1 3D Printers (2019),7.85
13,"THE 7th CONTINENT – What Goes Up, Must Come Down (2017)",7.07
14,The Way of Kings 10th Anniversary Leatherbound Ed. (2020),6.79
