,Response,Share of GDP
0,Q1 2020,99.6%
1,Q4 2019,90%
2,Q3 2019,93.8%
3,Q2 2019,82%
4,Q1 2019,77%
5,Q4 2018,71.9%
6,Q3 2018,65%
7,Q2 2018,60.2%
8,Q1 2018,61%
9,Q4 2017,59.8%
10,Q3 2017,56.1%
11,Q2 2017,59.5%
12,Q1 2017,61.2%
13,Q4 2016,61.2%
14,Q3 2016,68.8%
15,Q2 2016,63.7%
16,Q1 2016,58%
17,Q4 2015,48.9%
18,Q3 2015,49.1%
19,Q2 2015,45%
20,Q1 2015,59.9%
21,Q4 2014,44.5%
22,Q3 2014,36.2%
23,Q2 2014,31.9%
24,Q1 2014,28.1%
25,Q4 2013,30.7%
26,Q3 2013,28.3%
27,Q2 2013,29.4%
28,Q1 2013,31.4%
29,Q4 2012,26.1%
30,Q3 2012,24.6%
31,Q2 2012,20.3%
32,Q1 2012,20%
