,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,2%
3,2021*,2%
4,2020*,1.94%
5,2019*,1.81%
6,2018,2.48%
7,2017,2.68%
8,2016,0.66%
9,2015,0.04%
10,2014,1.46%
11,2013,2.57%
12,2012,2.83%
13,2011,4.46%
14,2010,3.3%
15,2009,2.17%
16,2008,3.6%
17,2007,2.32%
18,2006,2.33%
19,2005,2.06%
20,2004,1.34%
21,2003,1.36%
22,2002,1.26%
23,2001,1.23%
24,2000,0.8%
25,1999,1.33%
26,1998,1.56%
27,1997,1.83%
28,1996,2.43%
29,1995,2.63%
30,1994,1.99%
31,1993,2.53%
32,1992,4.23%
33,1991,7.52%
34,1990,7%
35,1989,5.22%
36,1988,4.61%
37,1987,4.07%
38,1986,3.63%
39,1985,5.16%
40,1984,4.45%
