,YouTube video,Number of views in billions
0,"""Baby Shark Dance"" - Pinkfong Kids' Songs & Stories",7.05
1,"""Despacito""- Luis Fonsi featuring Daddy Yankee",7.04
2,"""Shape of You"" - Ed Sheeran",5.05
3,"""See You Again"" - Wiz Khalifa featuring Charlie Puth",4.79
4,"""Masha and the Bear – Recipe for Disaster"" - Get Movies",4.36
5,"""Johny Johny Yes Papa"" - LooLoo Kids",4.14
6,"""Uptown Funk"" - Mark Ronson featuring Bruno Mars",3.99
7,"""Gangnam Style"" - Psy",3.84
8,"""Learning Colors - Colorful Eggs on a Farm"" - Miroshka TV",3.65
9,"""Sorry"" - Justin Bieber",3.36
